PERMNO,date,TICKER,COMNAM,PRC,RET,vwretd,sprtrn
84788,20000131,AMZN,AMAZON COM INC,64.56250,-0.151888,-0.039622,-0.050904
84788,20000229,AMZN,AMAZON COM INC,68.87500,0.066796,0.031760,-0.020108
84788,20000331,AMZN,AMAZON COM INC,67.00000,-0.027223,0.053499,0.096720
84788,20000428,AMZN,AMAZON COM INC,55.18750,-0.176306,-0.059519,-0.030796
84788,20000531,AMZN,AMAZON COM INC,48.31250,-0.124575,-0.038863,-0.021915
84788,20000630,AMZN,AMAZON COM INC,36.31250,-0.248383,0.051576,0.023934
84788,20000731,AMZN,AMAZON COM INC,30.12500,-0.170396,-0.017679,-0.016341
84788,20000831,AMZN,AMAZON COM INC,41.50000,0.377593,0.074984,0.060699
84788,20000929,AMZN,AMAZON COM INC,38.43750,-0.073795,-0.051154,-0.053483
84788,20001031,AMZN,AMAZON COM INC,36.62500,-0.047154,-0.024480,-0.004949
84788,20001130,AMZN,AMAZON COM INC,24.68750,-0.325939,-0.102365,-0.080069
84788,20001229,AMZN,AMAZON COM INC,15.56250,-0.369620,0.020450,0.004053
84788,20010131,AMZN,AMAZON COM INC,17.31250,0.112450,0.039573,0.034637
84788,20010228,AMZN,AMAZON COM INC,10.18750,-0.411552,-0.099084,-0.092291
84788,20010330,AMZN,AMAZON COM INC,10.23000,0.004172,-0.070408,-0.064205
84788,20010430,AMZN,AMAZON COM INC,15.78000,0.542522,0.083834,0.076814
84788,20010531,AMZN,AMAZON COM INC,16.69000,0.057668,0.010442,0.005090
84788,20010629,AMZN,AMAZON COM INC,14.15000,-0.152187,-0.017561,-0.025004
84788,20010731,AMZN,AMAZON COM INC,12.49000,-0.117314,-0.018284,-0.010772
84788,20010831,AMZN,AMAZON COM INC,8.94000,-0.284227,-0.058980,-0.064108
84788,20010928,AMZN,AMAZON COM INC,5.97000,-0.332215,-0.091497,-0.081723
84788,20011031,AMZN,AMAZON COM INC,6.98000,0.169179,0.027847,0.018099
84788,20011130,AMZN,AMAZON COM INC,11.32000,0.621776,0.078789,0.075176
84788,20011231,AMZN,AMAZON COM INC,10.82000,-0.044170,0.017854,0.007574
84788,20020131,AMZN,AMAZON COM INC,14.19000,0.311460,-0.015966,-0.015574
84788,20020228,AMZN,AMAZON COM INC,14.10000,-0.006342,-0.021700,-0.020766
84788,20020328,AMZN,AMAZON COM INC,14.30000,0.014184,0.044698,0.036739
84788,20020430,AMZN,AMAZON COM INC,16.69000,0.167133,-0.049600,-0.061418
84788,20020531,AMZN,AMAZON COM INC,18.23000,0.092271,-0.010510,-0.009081
84788,20020628,AMZN,AMAZON COM INC,16.25000,-0.108612,-0.070259,-0.072465
84788,20020731,AMZN,AMAZON COM INC,14.45900,-0.110215,-0.081125,-0.078995
84788,20020830,AMZN,AMAZON COM INC,14.94000,0.033266,0.007949,0.004881
84788,20020930,AMZN,AMAZON COM INC,15.93000,0.066265,-0.099923,-0.110013
84788,20021031,AMZN,AMAZON COM INC,19.36000,0.215317,0.074940,0.086436
84788,20021129,AMZN,AMAZON COM INC,23.35000,0.206095,0.061282,0.057070
84788,20021231,AMZN,AMAZON COM INC,18.89000,-0.191006,-0.053334,-0.060333
84788,20030131,AMZN,AMAZON COM INC,21.85000,0.156697,-0.023367,-0.027415
84788,20030228,AMZN,AMAZON COM INC,22.01000,0.007323,-0.015417,-0.017004
84788,20030331,AMZN,AMAZON COM INC,26.03000,0.182644,0.010321,0.008358
84788,20030430,AMZN,AMAZON COM INC,28.69000,0.102190,0.082768,0.081044
84788,20030530,AMZN,AMAZON COM INC,35.89000,0.250958,0.063471,0.050899
84788,20030630,AMZN,AMAZON COM INC,36.32000,0.011981,0.016346,0.011322
84788,20030731,AMZN,AMAZON COM INC,41.64000,0.146476,0.023112,0.016224
84788,20030829,AMZN,AMAZON COM INC,46.32000,0.112392,0.024965,0.017873
84788,20030930,AMZN,AMAZON COM INC,48.43000,0.045553,-0.009120,-0.011944
84788,20031031,AMZN,AMAZON COM INC,54.43000,0.123890,0.060361,0.054962
84788,20031128,AMZN,AMAZON COM INC,53.97000,-0.008451,0.016594,0.007129
84788,20031231,AMZN,AMAZON COM INC,52.62000,-0.025014,0.045476,0.050765
84788,20040130,AMZN,AMAZON COM INC,50.40000,-0.042189,0.023042,0.017276
84788,20040227,AMZN,AMAZON COM INC,43.01000,-0.146627,0.015443,0.012209
84788,20040331,AMZN,AMAZON COM INC,43.28000,0.006278,-0.010662,-0.016359
84788,20040430,AMZN,AMAZON COM INC,43.60000,0.007394,-0.024222,-0.016791
84788,20040528,AMZN,AMAZON COM INC,48.50000,0.112385,0.014068,0.012083
84788,20040630,AMZN,AMAZON COM INC,54.40000,0.121650,0.021611,0.017989
84788,20040730,AMZN,AMAZON COM INC,38.92000,-0.284559,-0.037698,-0.034291
84788,20040831,AMZN,AMAZON COM INC,38.14000,-0.020041,0.002703,0.002287
84788,20040930,AMZN,AMAZON COM INC,40.86000,0.071316,0.020556,0.009364
84788,20041029,AMZN,AMAZON COM INC,34.13000,-0.164709,0.017806,0.014014
84788,20041130,AMZN,AMAZON COM INC,39.68000,0.162614,0.048214,0.038595
84788,20041231,AMZN,AMAZON COM INC,44.29000,0.116179,0.035170,0.032458
84788,20050131,AMZN,AMAZON COM INC,43.22000,-0.024159,-0.026546,-0.025290
84788,20050228,AMZN,AMAZON COM INC,35.18000,-0.186025,0.022646,0.018903
84788,20050331,AMZN,AMAZON COM INC,34.27000,-0.025867,-0.016944,-0.019118
84788,20050429,AMZN,AMAZON COM INC,32.36000,-0.055734,-0.025206,-0.020109
84788,20050531,AMZN,AMAZON COM INC,35.51000,0.097342,0.037954,0.029952
84788,20050630,AMZN,AMAZON COM INC,33.09000,-0.068150,0.011529,-0.000143
84788,20050729,AMZN,AMAZON COM INC,45.15000,0.364461,0.043357,0.035968
84788,20050831,AMZN,AMAZON COM INC,42.70000,-0.054264,-0.005958,-0.011222
84788,20050930,AMZN,AMAZON COM INC,45.30000,0.060890,0.010600,0.006949
84788,20051031,AMZN,AMAZON COM INC,39.86000,-0.120088,-0.020866,-0.017741
84788,20051130,AMZN,AMAZON COM INC,48.46000,0.215755,0.040326,0.035186
84788,20051230,AMZN,AMAZON COM INC,47.15000,-0.027033,0.003458,-0.000952
84788,20060131,AMZN,AMAZON COM INC,44.82000,-0.049417,0.040072,0.025467
84788,20060228,AMZN,AMAZON COM INC,37.44000,-0.164659,-0.001639,0.000453
84788,20060331,AMZN,AMAZON COM INC,36.53000,-0.024306,0.019065,0.011065
84788,20060428,AMZN,AMAZON COM INC,35.21000,-0.036135,0.013000,0.012187
84788,20060531,AMZN,AMAZON COM INC,34.61000,-0.017041,-0.031032,-0.030917
84788,20060630,AMZN,AMAZON COM INC,38.68000,0.117596,-0.000391,0.000087
84788,20060731,AMZN,AMAZON COM INC,26.89000,-0.304809,-0.001912,0.005086
84788,20060831,AMZN,AMAZON COM INC,30.83000,0.146523,0.025041,0.021274
84788,20060929,AMZN,AMAZON COM INC,32.12000,0.041842,0.019425,0.024566
84788,20061031,AMZN,AMAZON COM INC,38.09000,0.185866,0.037153,0.031508
84788,20061130,AMZN,AMAZON COM INC,40.34000,0.059071,0.023736,0.016467
84788,20061229,AMZN,AMAZON COM INC,39.46000,-0.021815,0.010857,0.012616
84788,20070131,AMZN,AMAZON COM INC,37.67000,-0.045362,0.019387,0.014059
84788,20070228,AMZN,AMAZON COM INC,39.14000,0.039023,-0.014006,-0.021846
84788,20070330,AMZN,AMAZON COM INC,39.79000,0.016607,0.012954,0.009980
84788,20070430,AMZN,AMAZON COM INC,61.33000,0.541342,0.039834,0.043291
84788,20070531,AMZN,AMAZON COM INC,69.14000,0.127344,0.038953,0.032549
84788,20070629,AMZN,AMAZON COM INC,68.41000,-0.010558,-0.014747,-0.017816
84788,20070731,AMZN,AMAZON COM INC,78.54000,0.148078,-0.031790,-0.031982
84788,20070831,AMZN,AMAZON COM INC,79.91000,0.017443,0.011593,0.012864
84788,20070928,AMZN,AMAZON COM INC,93.15000,0.165686,0.040822,0.035794
84788,20071031,AMZN,AMAZON COM INC,89.15000,-0.042941,0.025910,0.014822
84788,20071130,AMZN,AMAZON COM INC,90.56000,0.015816,-0.049362,-0.044043
84788,20071231,AMZN,AMAZON COM INC,92.64000,0.022968,-0.004405,-0.008628
84788,20080131,AMZN,AMAZON COM INC,77.70000,-0.161269,-0.062218,-0.061163
84788,20080229,AMZN,AMAZON COM INC,64.47000,-0.170270,-0.021697,-0.034761
84788,20080331,AMZN,AMAZON COM INC,71.30000,0.105941,-0.010444,-0.005960
84788,20080430,AMZN,AMAZON COM INC,78.63000,0.102805,0.051199,0.047547
84788,20080530,AMZN,AMAZON COM INC,81.62000,0.038026,0.023935,0.010674
84788,20080630,AMZN,AMAZON COM INC,73.33000,-0.101568,-0.078436,-0.085962
84788,20080731,AMZN,AMAZON COM INC,76.34000,0.041047,-0.013413,-0.009859
84788,20080829,AMZN,AMAZON COM INC,80.81000,0.058554,0.010597,0.012191
84788,20080930,AMZN,AMAZON COM INC,72.76000,-0.099616,-0.098172,-0.090791
84788,20081031,AMZN,AMAZON COM INC,57.24000,-0.213304,-0.184838,-0.169425
84788,20081128,AMZN,AMAZON COM INC,42.70000,-0.254018,-0.084686,-0.074849
84788,20081231,AMZN,AMAZON COM INC,51.28000,0.200937,0.022231,0.007822
84788,20090130,AMZN,AMAZON COM INC,58.82000,0.147036,-0.077475,-0.085657
84788,20090227,AMZN,AMAZON COM INC,64.79000,0.101496,-0.100175,-0.109931
84788,20090331,AMZN,AMAZON COM INC,73.44000,0.133508,0.086813,0.085405
84788,20090430,AMZN,AMAZON COM INC,80.52000,0.096405,0.109483,0.093925
84788,20090529,AMZN,AMAZON COM INC,77.99000,-0.031421,0.067797,0.053081
84788,20090630,AMZN,AMAZON COM INC,83.66000,0.072702,-0.003020,0.000196
84788,20090731,AMZN,AMAZON COM INC,85.76000,0.025102,0.081792,0.074142
84788,20090831,AMZN,AMAZON COM INC,81.19000,-0.053288,0.031514,0.033560
84788,20090930,AMZN,AMAZON COM INC,93.36000,0.149895,0.045288,0.035723
84788,20091030,AMZN,AMAZON COM INC,118.81000,0.272601,-0.028079,-0.019762
84788,20091130,AMZN,AMAZON COM INC,135.91000,0.143927,0.057086,0.057364
84788,20091231,AMZN,AMAZON COM INC,134.52000,-0.010227,0.028486,0.017771
84788,20100129,AMZN,AMAZON COM INC,125.41000,-0.067722,-0.037186,-0.036974
84788,20100226,AMZN,AMAZON COM INC,118.40000,-0.055897,0.034754,0.028514
84788,20100331,AMZN,AMAZON COM INC,135.77000,0.146706,0.063688,0.058796
84788,20100430,AMZN,AMAZON COM INC,137.10001,0.009796,0.020039,0.014759
84788,20100528,AMZN,AMAZON COM INC,125.46000,-0.084902,-0.079267,-0.081976
84788,20100630,AMZN,AMAZON COM INC,109.26000,-0.129125,-0.050802,-0.053882
84788,20100730,AMZN,AMAZON COM INC,117.89000,0.078986,0.070384,0.068778
84788,20100831,AMZN,AMAZON COM INC,124.83000,0.058868,-0.042887,-0.047449
